;pd:aMh,621: gram. verb
pd:akaTA,793: gram.
pd:aki,2216: gram.
pd:aki,2217: gram.
pd:aki,2218: gram.
pd:akiMvftta,2219: gram.
pd:akit,2276: gram.
pd:aku,2344: gram.
pd:akKin,3434: gram.
pd:akta,3438: gram.
pd:akzadyUtAdi,4275: gram.
pd:aKi,6990: gram.
pd:agati,8147: gram.
pd:agatitva,8163: gram.
pd:agatyarTa,8171: gram.
pd:agi,8868: gram.
pd:agit,8869: gram.
pd:agit,8870: gram.
pd:agila,8876: gram.
pd:agOrAdi,9413: gram.
pd:agni,9425: gram. = of course there are other senses (e.g. 'fire')
pd:aGni,14271: gram.
pd:aGya,14281: gram.
pd:aGyac,14282: gram.
pd:aN,14295: gram.
pd:aN,14296: gram.
pd:aN,14297: gram.
pd:aN,14298: gram.
pd:aN,14299: gram.
pd:aN,14300: gram.
pd:aNa,14302: gram.
pd:aNi,14308: gram.
pd:aNI,14311: gram.
pd:aNki,14629: gram.
pd:aNku,14663: gram.
pd:aNgac,15229: gram.
pd:aNgarUpa,16217: gram.
pd:aNgarUpa,16218: gram.
pd:aNgasaMjYa,16532: gram.
pd:aNgApekza,16910: gram.
pd:aNgApekzatva,16911: gram.
pd:aNgApekzitva,16913: gram.
pd:aNgAvayavatva,17279: gram.
pd:aNgAvayavAkAra,17285: gram.
pd:aNgAvayavOzWya,17286: gram.
pd:aNgASraya,17306: gram.
pd:aNgu,17590: gram.
pd:aNgulyAdigaRa,18161: gram.
pd:aNGi,18553: gram.
pd:aNviDi,18714: gram.
pd:ac,18716: gram.
pd:ac,18717: gram.
pd:ac,18718: gram.
pd:ac,18719: gram.
pd:ac,18720: gram.
pd:acak,18721: gram.
pd:acaN,18757: gram.
pd:aciR,19234: gram.
pd:acvi,20731: gram.
pd:aja,20751: gram.
pd:ajas,21385: gram.
pd:ajasa,21386: gram.
pd:ajasi,21411: gram.
pd:ajahAti,21519: gram.
pd:ajAdi,21791: gram.
pd:ajAdi,21792: gram.
pd:ajAdi,21793: gram.
pd:aji,22004: gram.
pd:aji,22005: gram.
pd:ajJal,22529: gram.
pd:ajJalAdeSa,22531: gram.
pd:ajJaltva,22533: gram.
pd:ajJi,22538: gram.
pd:aJaw,23985: gram.
pd:aJal,23987: gram.
pd:aJi,23992: gram.
pd:aY,23995: gram.
pd:aYI,23999: gram.
pd:aYcac,24006: gram.
pd:aYcU,24165: gram.
pd:aYcUg,24166: gram.
pd:aYjas,24600: gram.
pd:aYji,24621: gram.
pd:aYRit,24654: gram.
pd:aw,24661: gram.
pd:aw,24662: gram.
pd:awa,24666: gram.
pd:awi,24837: gram.
pd:awi,24838: gram.
pd:awi,24839: gram.
pd:awu,24849: gram.
pd:awuc,24850: gram.
pd:awwati,24865: gram.
pd:awwi,24964: gram.
pd:aWac,24979: gram.
pd:aWi,24983: gram.
pd:aWyac,24988: gram.
pd:aq,24990: gram.
pd:aq,24991: gram.
pd:aqa,24993: gram.
pd:aqac,24998: gram.
pd:aqi,25026: gram.
pd:aR,25074: gram.
pd:aR,25075: gram.
pd:aR,25076: gram.
pd:aR,25077: gram.
pd:aR,25078: gram.
pd:aRa,25080: gram.
pd:aRak,25082: gram.
pd:aRac,25095: gram.
pd:aRap,25111: gram.
pd:aRal,25120: gram.
pd:aRAdi,25142: gram.
pd:aRAdiluk,25145: gram.
pd:aRi,25153: gram.
pd:aRi,25154: gram.
pd:aRu,25253: gram.
pd:aRqa,25582: gram.
pd:aRya,25821: gram.
pd:at,25864: gram.
pd:at,25865: gram.
pd:at,25866: gram.
pd:at,25867: gram.
pd:at,25868: gram.
pd:at,25870: gram.
pd:at,25871: gram.
pd:at,25872: gram.
pd:ata,25874: gram.
pd:ataN,25894: gram.
pd:atac,25895: gram.
pd:atatavat,25932: gram.
pd:atadDitaluk,26276: gram.
pd:atasuc,26824: gram.
pd:atAcCIlika,26832: gram.
pd:atAcCIlya,26833: gram.
pd:atAcCIlyArTa,26834: gram.
pd:atArTa,26961: gram.
pd:ati,26974: gram.
pd:atik,26977: gram.
pd:atipratyaya,30054: gram.
pd:atIR,34606: gram.
pd:atu,35276: gram.
pd:atu,35277: gram.
pd:atuc,35280: gram.
pd:atus,35542: gram.
pd:atf,35564: gram.
pd:atfn,35581: gram.
pd:atfS,35617: gram.
pd:atnic,35711: gram.
pd:atyantagati,35979: gram.
pd:atra,38659: gram.
pd:atra,38660: gram.
pd:atran,38700: gram.
pd:aTa,38941: gram.
pd:aTin,39126: gram.
pd:aTu,39127: gram.
pd:aTuk,39128: gram.
pd:aTuc,39129: gram.
pd:aTus,39131: gram.
pd:aTyak,39138: gram.
pd:ad,39140: gram.
pd:ad,39143: gram.
pd:adA,39679: gram.
pd:adAdi,39698: gram.
pd:adADA,39707: gram.
pd:adAp,39746: gram.
pd:adi,39834: gram.
pd:adi,39835: gram.
pd:adiS,39959: gram.
pd:adIDu,39982: gram.
pd:adu,40080: gram.
pd:aduk,40112: gram.
