bhs:acCati,210: Verb form
bhs:acCindati,214: Verb form
bhs:aYjati,252: Verb form
bhs:aRvati,280: Verb form
bhs:ati,288: Verb form
bhs:aticirayati,293: Verb form
bhs:atijalpati,294: Verb form
bhs:atinAmayati,296: Verb form
bhs:atipraTate,300: Verb form
bhs:atilIyate,316: Verb form
bhs:atisarati,327: Verb form
bhs:attIyati,346: Verb form
bhs:atyudgacCati,368: Verb form
bhs:aDitizWati,420: Verb form
bhs:aDinAmayati,421: Verb form
bhs:aDipAlayati,424: Verb form
bhs:aDiBAzati,426: Verb form
bhs:aDimanyati,427: Verb form
bhs:aDimucyate,439: Verb form
bhs:aDimokzati,445: Verb form
bhs:aDiropayati,448: Verb form
bhs:aDivartati,452: Verb form
bhs:aDivAsayati,455: Verb form
bhs:aDizWahati,461: Verb form
bhs:aDizWihati,466: Verb form
bhs:aDyaBAzati,471: Verb form
bhs:aDyavakirati,474: Verb form
bhs:aDyavagacCati,475: Verb form
bhs:aDyavasyati,479: Verb form
bhs:aDyAgacCati,481: Verb form
bhs:aDyAcarati,484: Verb form
bhs:aDyApawyati,486: Verb form
bhs:aDyApadyate,488: Verb form
bhs:aDyArohati,490: Verb form
bhs:aDyAlambate,492: Verb form
bhs:aDyAlambati,493: Verb form
bhs:aDyAviSati,498: Verb form
bhs:aDyASayati,501: Verb form
bhs:aDyupekzati,506: Verb form
bhs:aDyezati,511: Verb form
bhs:aDyoharati,515: Verb form
bhs:anukzamati,775: Verb form
bhs:anugavezate,778: Verb form
bhs:anucaNkramyati,785: Verb form
bhs:anucalati,786: Verb form
bhs:anujavati,794: Verb form
bhs:anuDArayati,832: Verb form
bhs:anuDvaMsayati,836: Verb form
bhs:anunIyate,845: Verb form
bhs:anuparicarati,868: Verb form
bhs:anuparipAlayati,872: Verb form
bhs:anuparimArjati,873: Verb form
bhs:anuparivartati,874: Verb form
bhs:anuparivArayati,877: Verb form
bhs:anupratipAdayate,922: Verb form
bhs:anuprapUrayati,930: Verb form
bhs:anuprayacCati,933: Verb form
bhs:anupravartayati,936: Verb form
bhs:anupraviSati,939: Verb form
bhs:anupravrajati,941: Verb form
bhs:anuprasarati,943: Verb form
bhs:anupraskandati,944: Verb form
bhs:anuprApunati,947: Verb form
bhs:anuprArTayate,948: Verb form
bhs:anubfMhayati,956: Verb form
bhs:anuBavati,960: Verb form
bhs:anuBAsati,962: Verb form
bhs:anuBramati,967: Verb form
bhs:anumArjati,971: Verb form
bhs:anuraRati,984: Verb form
bhs:anulagnati,996: Verb form
bhs:anuvicarati,1015: Verb form
bhs:anuvicArayati,1017: Verb form
bhs:anuvicintayati,1018: Verb form
bhs:anuvitarkayati,1020: Verb form
bhs:anuvilokayati,1025: Verb form
bhs:anuvyavaharati,1029: Verb form
bhs:anuSAkzyate,1038: Verb form
bhs:anuSikzati,1043: Verb form
bhs:anuSrAvayati,1050: Verb form
bhs:anusaMvarRayati,1055: Verb form
bhs:anusaMsIdati,1058: Verb form
bhs:anusArayati,1068: Verb form
bhs:anustanayati,1071: Verb form
bhs:anuhiRqate,1074: Verb form
bhs:anUpabfMhayati,1078: Verb form
bhs:antaraDAyati,1124: Verb form
bhs:antarahApayati,1125: Verb form
bhs:antarahAyate,1126: Verb form
bhs:antarahIyati,1128: Verb form
bhs:antarhApayati,1166: Verb form
bhs:anvAdiSati,1214: Verb form
bhs:anvAvartayati,1215: Verb form
bhs:anvAhiRqati,1216: Verb form
bhs:anvezati,1217: Verb form
bhs:apaGAwayati,1235: Verb form
bhs:apacayati,1237: Verb form
bhs:apacAyati,1240: Verb form
bhs:apadarSayati,1251: Verb form
bhs:apanAmayati,1254: Verb form
bhs:aparADyati,1288: Verb form
bhs:apavijJati,1324: Verb form
bhs:apasaMharati,1330: Verb form
bhs:apasfjati,1333: Verb form
bhs:apaharati,1340: Verb form
bhs:apAvurIyati,1352: Verb form
bhs:apotsfjati,1364: Verb form
bhs:apragalBAyate,1371: Verb form
bhs:aBAjanIBavati,1460: Verb form
bhs:aBigfhRati,1468: Verb form
bhs:aBiCAdayati,1474: Verb form
bhs:aBidakziRati,1486: Verb form
bhs:aBidaSati,1488: Verb form
bhs:aBidyotayati,1492: Verb form
bhs:aBiDArayati,1495: Verb form
bhs:aBiDyAyati,1497: Verb form
bhs:aBinandati,1501: Verb form
bhs:aBinAmayati,1505: Verb form
bhs:aBinikUjati,1506: Verb form
bhs:aBinigfhRati,1509: Verb form
bhs:aBinipatati,1510: Verb form
bhs:aBinirUpayati,1513: Verb form
bhs:aBinirjayati,1515: Verb form
bhs:aBinirnAmayati,1516: Verb form
bhs:aBinirharati,1527: Verb form
bhs:aBinivartate,1531: Verb form
bhs:aBinivasati,1532: Verb form
bhs:aBiniviSati,1533: Verb form
bhs:aBinivezyati,1539: Verb form
bhs:aBinizIdati,1541: Verb form
bhs:aBinizkramati,1543: Verb form
bhs:aBinizpadyate,1544: Verb form
bhs:aBinizpIqayati,1545: Verb form
bhs:aBinizpezayati,1546: Verb form
bhs:aBiprakirati,1559: Verb form
bhs:aBipraRamati,1560: Verb form
bhs:aBipradarSayati,1562: Verb form
bhs:aBipralambate,1567: Verb form
bhs:aBipravAdayati,1570: Verb form
bhs:aBiprasarati,1572: Verb form
bhs:aBiprasIdati,1574: Verb form
bhs:aBibuDyati,1577: Verb form
bhs:aBiBavati,1579: Verb form
bhs:aBiBAzati,1582: Verb form
bhs:aBimanyati,1588: Verb form
bhs:aBiyujyate,1597: Verb form
bhs:aBirudati,1609: Verb form
bhs:aBirocate,1612: Verb form
bhs:aBiliKati,1622: Verb form
bhs:aBilIyati,1624: Verb form
bhs:aBivAhayati,1629: Verb form
bhs:aBivijinati,1631: Verb form
bhs:aBivijYApayati,1632: Verb form
bhs:aBivinayati,1633: Verb form
bhs:aBivilokayati,1635: Verb form
bhs:aBiviSrARayati,1636: Verb form
bhs:aBizajyate,1645: Verb form
bhs:aBizUyate,1647: Verb form
bhs:aBizyandati,1654: Verb form
bhs:aBizyandayati,1656: Verb form
bhs:aBisaMyujyate,1658: Verb form
bhs:aBisaMrADayati,1659: Verb form
bhs:aBisaMsPuwati,1664: Verb form
bhs:aBisaMkzipati,1667: Verb form
bhs:aBisaMdarSayati,1672: Verb form
bhs:aBisamayati,1674: Verb form
bhs:aBisamAgacCati,1675: Verb form
bhs:aBisaMprArTayate,1685: Verb form
bhs:aBisaMBAvayati,1691: Verb form
bhs:aBisaMBuRati,1694: Verb form
bhs:aBisaMmodayati,1695: Verb form
bhs:aBistavati,1701: Verb form
bhs:aByaNgati,1715: Verb form
bhs:aByavakIrati,1731: Verb form
bhs:aByAkirati,1733: Verb form
bhs:aByAcikzati,1735: Verb form
bhs:aByAvasati,1738: Verb form
bhs:aByAsannIBavati,1740: Verb form
bhs:aByAsIBavati,1743: Verb form
bhs:aByutkzipati,1746: Verb form
bhs:aByutsAhayati,1750: Verb form
bhs:aByudgacCati,1752: Verb form
bhs:aBrati,1771: Verb form
bhs:aritIyate,1886: Verb form
bhs:artiyati,1924: Verb form
bhs:ardIyate,1940: Verb form
bhs:arDApayati,1952: Verb form
bhs:arhati,1959: Verb form
bhs:alpamanyate,2003: Verb form
bhs:allApayati,2018: Verb form
bhs:allIyati,2019: Verb form
bhs:avakawwati,2022: Verb form
bhs:avakarzati,2024: Verb form
bhs:avakalpayati,2027: Verb form
bhs:avakASati,2032: Verb form
bhs:avakAsayati,2033: Verb form
bhs:avakramati,2041: Verb form
bhs:avakrAmati,2046: Verb form
bhs:avakzapayati,2047: Verb form
bhs:avagUhayati,2052: Verb form
bhs:avacarati,2060: Verb form
bhs:avacodayati,2063: Verb form
bhs:avajIryati,2065: Verb form
bhs:avaqIyati,2066: Verb form
bhs:avatarati,2069: Verb form
bhs:avatArayati,2074: Verb form
bhs:avadaDati,2078: Verb form
bhs:avadvArApayati,2085: Verb form
bhs:avaDyati,2092: Verb form
bhs:avanAdayati,2098: Verb form
bhs:avapunati,2104: Verb form
bhs:avapfcCati,2106: Verb form
bhs:avapravrajati,2108: Verb form
bhs:orUpayati,2138: Verb form
bhs:avaropayati,2141: Verb form
bhs:avalIyati,2149: Verb form
bhs:avalIyate,2150: Verb form
bhs:avalokayati,2157: Verb form
bhs:avavadati,2164: Verb form
bhs:avavahati,2166: Verb form
bhs:avavAdati,2169: Verb form
bhs:avavAyati,2171: Verb form
bhs:avaSaMsyati,2174: Verb form
bhs:avaSayati,2175: Verb form
bhs:avaSirati,2179: Verb form
bhs:avaSyAyati,2182: Verb form
bhs:avasakkati,2187: Verb form
bhs:avasarati,2189: Verb form
bhs:avasAdayati,2194: Verb form
bhs:avasirati,2196: Verb form
bhs:avasPaRqayati,2204: Verb form
bhs:avasvapati,2208: Verb form
bhs:avasvApayati,2210: Verb form
bhs:avirAgayati,2260: Verb form
bhs:asate,2310: Verb form
bhs:Akawwati,2502: Verb form
bhs:AkANkzati,2510: Verb form
bhs:AkArayati,2514: Verb form
bhs:Akirati,2537: Verb form
bhs:Akowayati,2543: Verb form
bhs:Akramati,2545: Verb form
bhs:Akramyati,2546: Verb form
bhs:AkrAmayati,2547: Verb form
