mw:carma,72445:in compound for carman
mw:carzaRI,72583:in compound for carzaRi
mw:calad,72632:in compound for calat
mw:cArv,73237:in compound for cAru
mw:cic,73512:in compound for cit
mw:cid,74007:in compound for cit
mw:cin,74029:in compound for cit
mw:cetI,74075:in compound for cetas
mw:ceto,74078:in compound for cetas
mw:cUrRI,74849:in compound for cUrRa
mw:CattrI,75453:in compound for Cattra
mw:Cadma,75490:in compound for Cadman
mw:CandaH,75591:in compound for Candas
mw:Cando,75630:in compound for Candas
mw:jagac,76204:in compound for jagat
mw:jagaj,76211:in compound for jagat
mw:jagad,76296:in compound for jagat
mw:jagan,76366:in compound for jagat
mw:janar,76918:in compound for janas
mw:jano,76999:in compound for janas
mw:janma,77033:in compound for janman
mw:jayad,77533:in compound for jayat
mw:jarad,77647:in compound for jarat
mw:jAty,78743:in compound for jAti
mw:jAtU,78761:in compound for jAtu
mw:jAnv,78848:in compound for jAnu
mw:jIvad,79817:in compound for jIvat
mw:jIvan,79820:in compound for jIvat
mw:jIvanti,79890:in compound for jIvanti
mw:jeta,80158:in compound for jetf
mw:jyotiH,80673:in compound for jyotis
mw:jyotir,80686:in compound for jyotis
mw:jyotiS,80725:in compound for jyotis
mw:jyotiz,80729:in compound for jyotis
mw:jyotI,80800:in compound for jyotis
mw:jyog,80843:in compound for jyok
mw:jvalan,80900:in compound for jvalat
mw:takza,81607:in compound for takzan
mw:taqid,81696:in compound for taqit
mw:taqin,81699:in compound for taqit
mw:tato,81803:in compound for tatas
mw:tat,81811:in compound for tad
mw:tac,81964:in compound for tad
mw:taj,81967:in compound for tad
mw:tadAnIM,82177:in compound for tadAnIm
mw:tan,82186:in compound for tad
mw:tanU,82362:in compound for tanu
mw:tantv,82562:in compound for tantu
mw:tanv,82567:in compound for tanu
mw:tapaH,82627:in compound for tapas
mw:tapaS,82694:in compound for tapas
mw:tapur,82751:in compound for tapus
mw:tapo,82765:in compound for tapas
mw:tamaH,82879:in compound for tamas
mw:tamo,82948:in compound for tamas
mw:tAdfg,83818:in compound for tAdfS
mw:tAvac,84678:in compound for tAvat
mw:tAvad,84707:in compound for tAvat
mw:tAvan,84715:in compound for tAvat
mw:tiTy,84936:in compound for tiTi
mw:tiraH,85042:in compound for tiras
mw:tiro,85089:in compound for tiras
mw:tirya,85106:in compound for tiryag
mw:tiryak,85109.1:in compound for tiryak
mw:tiryag,85128:in compound for tiryak
mw:tiryaN,85174:in compound for tiryak
